aar,knr,aarknr,kommunenavn,bm_andel_forrige_valg,bm_andel_dette_valg,d_borgmesterparti,d_udvalgsformandsparti,d_valgdeltagelse,skolelukning,antal_skolelukning,borgmesterparti,udvalgsformandsparti,delt_inst_ansvar,delt_pol_ansvar,koalition,afstand_valg,aftale_borgmester,aftale_udvalgsformand,besluttet_aar,skoleluk_aar_i_valgperiode,ny_borgmester,sammenlagt_kommune,valgvind_bm,est_ft_bm,valgvind_uf,est_ft_uf,friskole_antal,friskole,d_nettodriftsudgifter,dt0_nettodriftsudgifter,koalition_kat
2013,101,2013101,København,0.299052444,0.277576663,-0.021475781,-0.021475781,0.067807733,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,1,0,-0.032211335,0.179287671,-0.032211335,0.179287671,NA,NA,1458,4999,0
2013,147,2013147,Frederiksberg,0.397398355,0.357444598,-0.039953756,-0.039953756,0.061133404,0,0,C,C,0,NA,NA,NA,NA,NA,NA,0,1,0,-0.099670919,0.080819277,-0.099670919,0.080819277,NA,NA,1045,2954,0
2013,151,2013151,Ballerup,0.566296312,0.540258355,-0.026037958,-0.026037958,0.068531275,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,0,0,-0.035016313,0.301150685,-0.035016313,0.301150685,NA,NA,607,5157,0
2013,153,2013153,Brøndby,0.376981484,0.448830836,0.071849352,0.071849352,0.064189069,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,0,0,-0.023532122,0.298082192,-0.023532122,0.298082192,NA,NA,4598,5937,0
2013,155,2013155,Dragør,0.224205018,0.185764098,-0.03844092,-0.006108723,0.059988969,1,1,A,V,1,1,0.666666667,572,1,1,2012,3,0,0,-0.002972303,0.164383562,0.018025059,0.29578355,0,0,-235,-153,2
2013,157,2013157,Gentofte,0.455135416,0.502192209,0.047056793,0.047056793,0.06122978,0,0,C,C,0,NA,NA,NA,NA,NA,NA,0,0,0,-0.163689346,0.130036145,-0.163689346,0.130036145,NA,NA,1113,3427,0
2013,159,2013159,Gladsaxe,0.352688816,0.369203644,0.016514828,0.016514828,0.056791555,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,0,0,-0.015890302,0.24460274,-0.015890302,0.24460274,NA,NA,2232,5962,0
2013,161,2013161,Glostrup,0.173297437,0.287173666,0.113876229,0.113876229,0.061186305,0,0,V,V,0,NA,NA,NA,NA,NA,NA,0,1,0,0.010254619,0.211116883,0.010254619,0.211116883,NA,NA,2880,4426,0
2013,163,2013163,Herlev,0.555632502,0.586863106,0.031230604,0.031230604,0.059931701,0,0,A,A,0,NA,NA,NA,NA,NA,NA,0,1,0,-0.025432283,0.284054795,-0.025432283,0.284054795,NA,NA,4526,7661,0
2013,165,2013165,Albertslund,0.398627372,0.396975836,-0.001651536,-0.001651536,0.062257291,1,1,A,A,0,1,0.904761905,1035,1,1,2011,2,1,0,-0.028033443,0.27660274,-0.028033443,0.27660274,0,0,1969,4258,4
