knr,aar,antal_skole_lukning,valgstedid,kommunenavn,aarknr,aarvalgid,borgmesterparti,bm_andel_forrige_valg,bm_andel_dette_valg,d_borgmesterparti,udvalgsformand,uf_andel_forrige_valg,uf_andel_dette_valg,d_udvalgsformand,delt_inst_ansvar,delt_pol_ansvar,d_nettodriftsudgifter,ny_borgmester,sammenlagt_kommune,valgvind_bm,est_ft_bm,valg_uf,est_ft_uf,skolelukning_antal,skolelukning,koalition,afstand_valg,aftale_borgmester,aftale_udvalgsformand,besluttet_aar,kl_sidste_skole,friskole,koalition_kat,friskole_kat,kl_sidste_skole_kat
101,2017,1,101001,København,2017101,2017101001,A,0.259444333,0.276617097,0.017172764,V,1555,0.11048262,-0.044924136,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101002,København,2017101,2017101002,A,0.244029851,0.259547222,0.015517371,V,679,0.13377544,-0.035130032,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101003,København,2017101,2017101003,A,0.258247121,0.278309271,0.02006215,V,1367,0.099321621,-0.034096298,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101005,København,2017101,2017101005,A,0.27816997,0.302422506,0.024252536,V,913,0.084787705,-0.039160163,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101006,København,2017101,2017101006,A,0.287313433,0.297670526,0.010357093,V,895,0.093178965,-0.040403125,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101007,København,2017101,2017101007,A,0.300060938,0.299244159,-8.16779e-4,V,938,0.072835547,-0.041484989,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101008,København,2017101,2017101008,A,0.291528341,0.267827529,-0.023700812,V,859,0.060767591,-0.044851492,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101009,København,2017101,2017101009,A,0.244158321,0.228664495,-0.015493826,V,1138,0.156482085,-0.024411255,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101010,København,2017101,2017101010,A,0.254313368,0.250533718,-0.003779649,V,1162,0.105739043,-0.05725717,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101011,København,2017101,2017101011,A,0.248775242,0.249214294,4.39052e-4,V,1067,0.097543941,-0.029950383,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101012,København,2017101,2017101012,A,0.248654467,0.274128299,0.025473832,V,702,0.103255635,-0.047874613,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101013,København,2017101,2017101013,A,0.252583777,0.25566523,0.003081453,V,596,0.077019324,-0.016309833,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101014,København,2017101,2017101014,A,0.236256872,0.245333333,0.009076462,V,1355,0.132057971,-0.037232384,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101016,København,2017101,2017101016,A,0.29111728,0.275766686,-0.015350594,V,657,0.077512246,-0.036471099,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101017,København,2017101,2017101017,A,0.28440367,0.265764408,-0.018639262,V,1001,0.070077613,-0.041916122,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101018,København,2017101,2017101018,A,0.276501112,0.305015895,0.028514784,V,720,0.087248322,-0.04618385,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101019,København,2017101,2017101019,A,0.26993865,0.302512107,0.032573456,V,907,0.104267554,-0.054715793,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101020,København,2017101,2017101020,A,0.254602482,0.236919775,-0.017682707,V,496,0.041320097,-0.026319342,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101021,København,2017101,2017101021,A,0.269809322,0.232200802,-0.03760852,V,663,0.048291659,-0.021941392,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101022,København,2017101,2017101022,A,0.241395241,0.226487093,-0.014908148,V,229,0.041975309,-0.010923744,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101023,København,2017101,2017101023,A,0.259307135,0.236676751,-0.022630384,V,327,0.0556202,-0.028919614,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101024,København,2017101,2017101024,A,0.259488614,0.242709654,-0.01677896,V,315,0.04002898,-0.02289551,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101025,København,2017101,2017101025,A,0.259848059,0.204281891,-0.055566167,V,416,0.034280617,-0.024244988,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101026,København,2017101,2017101026,A,0.250556297,0.233389403,-0.017166894,V,182,0.053406224,-0.027590661,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101027,København,2017101,2017101027,A,0.276826722,0.280567998,0.003741275,V,854,0.053178309,-0.035965741,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101028,København,2017101,2017101028,A,0.297269342,0.328384798,0.031115456,V,443,0.064726841,-0.026915691,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101029,København,2017101,2017101029,A,0.343975675,0.356095817,0.012120142,V,220,0.060064355,-0.023554041,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101030,København,2017101,2017101030,A,0.266131674,0.235461441,-0.030670233,V,495,0.053413401,-0.027654401,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101031,København,2017101,2017101031,A,0.282369635,0.320592287,0.038222652,V,395,0.08161157,-0.05850904,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101032,København,2017101,2017101032,A,0.48339060700000003,0.345860566,-0.137530041,V,49,0.021786492,-0.006277654,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101033,København,2017101,2017101033,A,0.283108808,0.296934866,0.013826058,V,552,0.070114943,-0.044289203,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101034,København,2017101,2017101034,A,0.298085525,0.318282501,0.020196976,V,559,0.062020787,-0.037997105,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101035,København,2017101,2017101035,A,0.334019028,0.341975309,0.007956281,V,410,0.069135802,-0.036289757,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101036,København,2017101,2017101036,A,0.321206744,0.362836439,0.041629695,V,686,0.071083506,-0.050655625,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101039,København,2017101,2017101039,A,0.292395693,0.321924144,0.029528451,V,428,0.092815294,-0.051195473,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101040,København,2017101,2017101040,A,0.290536948,0.308969277,0.018432328,V,498,0.086967294,-0.045409101,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101041,København,2017101,2017101041,A,0.301675978,0.343384036,0.041708058,V,1041,0.09045632,-0.054934742,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,1,1,0.654545455,572,1,1,2016,0,0,2,1,1
101,2017,1,101042,København,2017101,2017101042,A,0.290276283,0.298058753,0.00778247,V,763,0.086754853,-0.050130687,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101043,København,2017101,2017101043,A,0.272574689,0.289456766,0.016882077,V,808,0.093539055,-0.042076924,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101044,København,2017101,2017101044,A,0.330357143,0.366498741,0.036141598,V,333,0.08406801,-0.030286386,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101046,København,2017101,2017101046,A,0.320882852,0.339720689,0.018837836,V,314,0.069827866,-0.036793526,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101047,København,2017101,2017101047,A,0.311187312,0.291262136,-0.019925177,V,234,0.071775312,-0.028524731,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101048,København,2017101,2017101048,A,0.303089273,0.310922631,0.007833359,V,532,0.0918494,-0.037559503,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101049,København,2017101,2017101049,A,0.280973886,0.230393013,-0.050580873,V,339,0.048034934,-0.018527013,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101050,København,2017101,2017101050,A,0.265112263,0.234056122,-0.03105614,V,471,0.054049745,-0.027297405,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101051,København,2017101,2017101051,A,0.320892792,0.305063739,-0.015829052,V,390,0.04444051,-0.026909655,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101052,København,2017101,2017101052,A,0.273806999,0.228717144,-0.045089855,V,400,0.061592781,-0.023242849,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101053,København,2017101,2017101053,A,0.294562302,0.24650655,-0.048055752,V,305,0.049563319,-0.024808786,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
101,2017,1,101054,København,2017101,2017101054,A,0.297055731,0.278035218,-0.019020513,V,163,0.053290083,-0.032409181,1,1,-5008,0,1,0.018815777,0.198103448,-0.024585415,0.101864802,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
